TipoMovimiento	CodigoProducto	CodigoUnicoProductoPoliza	IdentificadorCredito	ClienteId	TipoDocumentoIdentidad	NoDocumentoIdentidad	PrimerApellidoAsegurado	SegundoApellidoAsegurado	ApellidoCasadaAsegurado	PrimerNombreAsegurado	SegundoNombreAsegurado	FechaNacimientoAsegurado	FechaInicioVigencia	FechaFinVigencia	PrimaConImpuestos	Impuestos	SumaAsegurada	MesContable	SaldoPrestamo	ValorCuota	PlazoPrestamo	CuotasPactadas	FrecuenciaPago	CodigoPlan	CodigoSucursal	EmailAsegurado	SexoAsegurado	DireccionResidencia	CodigoProvincia	NombreCiudad	TelefonoResidencia	TelefonoOficina	Profesion	NombreEmpresa	CodigoActividadEconomica	NombreActividadEconomica	Segmento	CodigoCargo	NombreConyuge	FechaNacimientoConyuge	IdentificacionConyuge	ProvinciaEmpresa	Nacionalidad
P	4202	1.23457E+15	1234	CLI001234567890     	CED       	8-123-4567          	GONZALEZ            	MARTINEZ            	                    	JUAN                            	CARLOS                          	15011985	27012026	27012027	50	45	5000	12026	5000	100	24	24	C	1	2	juan.gonzalez@email.com                                                    	M 	CALLE 50, EDIFICIO TORRE GLOBAL, PISO 10, OFICINA 1001                                                                                                                                                                                                                                                    	80001	PANAMA                                                          	507-6000-1234   	507-6000-1234   	INGENIERO 	METRO                                                           	1	PANAMA              	BANCA PERSONAL      	1	MARIA VALLE GONZALEZ                                                            	            	8-999-9999  	PANAMA    	PANAMENA  
P	4203	2.34568E+15	2345	CLI002345678901     	CED       	8-234-5678          	RODRIGUEZ           	LOPEZ               	                    	MARIA                           	ELENA                           	20051990	27012026	27012027	75	68	7500	12026	7500	150	36	36	A	1	2	maria.rodriguez@email.com                                                  	F 	AVENIDA BALBOA, TORRE OCEANIA, PISO 5, APARTAMENTO 502                                                                                                                                                                                                                                                 	80001	PANAMA                                                          	507-6111-2345   	507-6111-2345   	ABOGADA   	METRO                                                           	2	PANAMA              	BANCA PERSONAL      	2	TOMAS WONG CHEN                                                                 	            	8-888-8888  	PANAMA    	PANAMENA  
P	4204	3.45679E+15	3456	CLI003456789012     	CED       	8-345-6789          	PEREZ               	SANCHEZ             	                    	CARLOS                          	ALBERTO                         	10031988	27012026	27012027	100	90	10000	12026	10000	200	48	48	C	1	1	carlos.perez@email.com                                                     	M 	VIA ESPAÑA, EDIFICIO COMOSA, PISO 8, OFICINA 801                                                                                                                                                                                                                                                       	80001	PANAMA                                                          	507-6222-3456   	507-6222-3456   	CONTADOR  	METRO                                                           	3	PANAMA              	BANCA EMPRESARIAL   	3	JESSICA HERNANDEZ LOPEZ                                                         	            	8-777-7777  	PANAMA    	PANAMENA  
P	4205	4.56789E+15	4567	CLI004567890123     	CED       	8-456-7890          	MARTINEZ            	GARCIA              	                    	ANA                             	PATRICIA                        	5071992	27012026	27012027	125	113	12500	12026	12500	250	60	60	A	1	3	ana.martinez@email.com                                                     	F 	COSTA DEL ESTE, TOWN CENTER, PISO 3, LOCAL 305                                                                                                                                                                                                                                                          	80001	PANAMA                                                          	507-6333-4567   	507-6333-4567   	MEDICO    	METRO                                                           	4	PANAMA              	BANCA PERSONAL      	4	ERICK GROSS MULLER                                                              	            	8-666-6666  	PANAMA    	PANAMENA  
P	4206	5.6789E+15	5678	CLI005678901234     	CED       	8-567-8901          	FERNANDEZ           	RAMIREZ             	                    	LUIS                            	FERNANDO                        	12111987	27012026	27012027	150	135	15000	12026	15000	300	72	72	C	2	3	luis.fernandez@email.com                                                   	M 	PUNTA PACIFICA, TOWER FINANCIAL CENTER, PISO 20, OFICINA 2001                                                                                                                                                                                                                                          	80001	PANAMA                                                          	507-6444-5678   	507-6444-5678   	ARQUITECTO	METRO                                                           	5	PANAMA              	BANCA PRIVADA       	5	MARIA VALLE GONZALEZ                                                            	            	8-555-5555  	PANAMA    	PANAMENA  
P	4202	6.78901E+15	6789	CLI006789012345     	PAS       	N1234567            	SMITH               	JOHNSON             	                    	ROBERT                          	JAMES                           	25021985	27012026	27012027	60	54	6000	12026	6000	120	24	24	C	1	2	robert.smith@email.com                                                     	M 	CLAYTON, CIUDAD DEL SABER, EDIFICIO 102, OFICINA 205                                                                                                                                                                                                                                                   	80001	PANAMA                                                          	507-6555-6789   	507-6555-6789   	CONSULTOR 	OCCIDENTAL                                                      	6	PANAMA              	BANCA PERSONAL      	6	TOMAS WONG CHEN                                                                 	            	N1234567    	USA       	AMERICANA 
P	4203	7.89012E+15	7890	CLI007890123456     	CED       	8-678-9012          	CASTILLO            	MORALES             	                    	SOFIA                           	ISABEL                          	30041993	27012026	27012027	80	72	8000	12026	8000	160	36	36	A	1	2	sofia.castillo@email.com                                                   	F 	ALBROOK, ALBROOK MALL, TORRE EMPRESARIAL, PISO 6, OFICINA 601                                                                                                                                                                                                                                          	80001	PANAMA                                                          	507-6666-7890   	507-6666-7890   	ECONOMISTA	METRO                                                           	7	PANAMA              	BANCA PERSONAL      	7	JESSICA HERNANDEZ LOPEZ                                                         	            	8-444-4444  	PANAMA    	PANAMENA  
P	4204	8.90123E+15	8901	CLI008901234567     	CED       	8-789-0123          	VARGAS              	TORRES              	                    	DIEGO                           	ALEJANDRO                       	18091989	27012026	27012027	110	99	11000	12026	11000	220	48	48	C	1	1	diego.vargas@email.com                                                     	M 	BETHANIA, CALLE 70, EDIFICIO PLAZA BETHANIA, PISO 4, LOCAL 401                                                                                                                                                                                                                                         	80001	PANAMA                                                          	507-6777-8901   	507-6777-8901   	VENDEDOR  	METRO                                                           	8	PANAMA              	BANCA PERSONAL      	8	ERICK GROSS MULLER                                                              	            	8-333-3333  	PANAMA    	PANAMENO  
P	4205	9.01235E+15	9012	CLI009012345678     	CED       	8-890-1234          	HERRERA             	DIAZ                	                    	VALENTINA                       	ANDREA                          	22061991	27012026	27012027	135	122	13500	12026	13500	270	60	60	A	2	3	valentina.herrera@email.com                                                	F 	SAN FRANCISCO, MULTICENTRO, TORRE B, PISO 12, OFICINA 1201                                                                                                                                                                                                                                             	80001	PANAMA                                                          	507-6888-9012   	507-6888-9012   	PSICOLOGA 	METRO                                                           	9	PANAMA              	BANCA PERSONAL      	9	MARIA VALLE GONZALEZ                                                            	            	8-222-2222  	PANAMA    	PANAMENA  
P	4206	1.23457E+14	123	CLI010123456789     	CED       	8-901-2345          	JIMENEZ             	CASTRO              	                    	SEBASTIAN                       	ANDRES                          	8121986	27012026	27012027	160	144	16000	12026	16000	320	72	72	C	3	3	sebastian.jimenez@email.com                                                	M 	MARBELLA, TORRE GLOBAL BANK, PISO 25, OFICINA 2501                                                                                                                                                                                                                                                     	80001	PANAMA                                                          	507-6999-0123   	507-6999-0123   	GERENTE   	METRO                                                           	10	PANAMA              	BANCA EMPRESARIAL   	10	TOMAS WONG CHEN                                                                 	            	8-111-1111  	PANAMA    	PANAMENO  
