Plan;Identificacion;Nombres;Inicio Vigencia;Fin Vigencia; Suma Asegurada ;Tipo Objeto;Uso Bien;Actividad;Tipo Material;Descripci½n;Pais;Provincia;Distrito;Corregimiento;Barriada;Edificio
1_17;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;15,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;20,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;30,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;15,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;20,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;30,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;111223-1112;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;15,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080471
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;20,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;30,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;15,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;20,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;30,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;20,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
1_17;04-0004-00380;LUIS JARAMILLO;1/9/2025;1/9/2026;30,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;8;808;80809;0;8080848
