Plan;Identificacion;Nombres;Inicio Vigencia;Fin Vigencia; Suma Asegurada ;Tipo Objeto;Uso Bien;Actividad;Tipo Material;Descripción;Pais;Provincia;Distrito;Corregimiento;Barriada;Edificio
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;1;102;10202;0;1
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;1;102;10202;0;1
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;1;102;10202;0;2
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;1;102;10202;0;2
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20101;0;8080820
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20101;0;8080820
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20101;0;8080821
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20101;0;8080821
1_9;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,842.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20102;0;8080230
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,697.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20102;0;8080230
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,552.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20105;0;8080826
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,407.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20105;0;8080826
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,263.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20105;0;8080837
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;48,118.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;201;20105;0;8080837
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;47,973.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20201;0;8080789
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;47,828.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20201;0;8080789
